"id","lat","long","max_votantes"
1,-34.5848468758,-58.4003567654,83
2,-34.598406334,-58.3905971334,111
3,-34.590186257,-58.392238818,226
4,-34.5959533335,-58.3885933879,110
5,-34.5900543004,-58.4033961692,190
6,-34.5927711126,-58.4004128228,108
7,-34.5963146709,-58.3973053369,350
8,-34.583720424,-58.4053120454,102
9,-34.5888330899,-58.3903651206,297
10,-34.5945463785,-58.4039677166,253
11,-34.5979944829,-58.3958408621,111
12,-34.5967637722,-58.390048585,96
13,-34.5987679665,-58.3925372397,111
14,-34.5888539216,-58.4011189736,138
15,-34.5926636622,-58.3977938121,79
16,-34.5931010352,-58.4088169142,86
17,-34.5963030714,-58.4042575013,195
18,-34.5907731383,-58.4036118862,179
19,-34.5952297643,-58.4054867272,129
20,-34.5893448326,-58.4042189585,178
21,-34.5946533386,-58.4105496719,195
22,-34.595610285,-58.4083415141,186
23,-34.5995175156,-58.3951202381,220
24,-34.5973534103,-58.3938028671,82
25,-34.5935469458,-58.4007477519,72
26,-34.5986086495,-58.3941445997,78
27,-34.5964921372,-58.3946042319,362
28,-34.5946930582,-58.4108970636,155
29,-34.5965385152,-58.404955055,277
30,-34.5983582529,-58.402424839,189
